eng_title,episode_num,jp_title,show_type
How Dare You!?,24,Cheng He Titong,ONA
Link Click Episode 5.5,1,Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,ONA
N/A,1,Lupin III: The First,Movie
N/A,1,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,Movie
Saint☆Young Men (Movie),1,Saint☆Oniisan (Movie),Movie
Detective Conan Movie 12: Full Score of Fear,1,Meitantei Conan Movie 12: Senritsu no Full Score,Movie
Rurouni Kenshin: Kyoto Disturbance,23,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,TV
Pokémon the Series: XYZ,47,Pokemon XY&Z,TV
N/A,3,Psycho-Pass 3: First Inspector,ONA
Detective Conan Movie 09: Strategy Above the Depths,1,Meitantei Conan Movie 09: Suihei Senjou no Strategy,Movie
N/A,26,Last Exile,TV
N/A,373,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,TV
Jin-Roh: The Wolf Brigade,1,Jin-Rou,Movie
Haré+Guu Deluxe,6,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA
N/A,1,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,Special
One Piece: Baron Omatsuri and the Secret Island,1,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,Movie
Detective Conan Movie 07: Crossroad in the Ancient Capital,1,Meitantei Conan Movie 07: Meikyuu no Crossroad,Movie
Maria Watches Over Us 3rd,5,Maria-sama ga Miteru 3rd,OVA
Golden Courtyard: New Year Wishes in Winter,2,Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,ONA
N/A,1,Mind Game,Movie
Mobile Suit Gundam Wing: Endless Waltz,1,Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,Movie
N/A,2,Hidamari Sketch x SP,TV Special
N/A,5,Magi: Sinbad no Bouken,OVA
The Garden of Sinners Chapter 2: A Study in Murder - Part 1,1,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),Movie
Is the Order a Rabbit?? OVA,1,Gochuumon wa Usagi desu ka?? Sing for You,OVA
Sound! Euphonium: Our Promise: A Brand New Day,1,Hibike! Euphonium Movie 3: Chikai no Finale,Movie
N/A,12,Beastars 2nd Season,TV
Barefoot Gen,1,Hadashi no Gen,Movie
Dragon Ball Z Kai,97,Dragon Ball Kai,TV
Broken Blade 3,1,Break Blade Movie 3: Kyoujin no Ato,Movie
The Disappearance of Conan Edogawa: The Worst Two Days in History,1,Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,TV Special
Snow White with the Red Hair,12,Akagami no Shirayuki-hime,TV
N/A,1,Aria the Crepuscolo,Movie
Legend of Immortals 5th Season,28,Xingchen Bian 5th Season,ONA
N/A,2,Zan Sayonara Zetsubou Sensei Bangaichi,OVA
N/A,2,Shiki Specials,Special
N/A,24,Undead Unluck,TV
Jellyfish Can't Swim in the Night,12,Yoru no Kurage wa Oyogenai,TV
Welcome to Demon School! Iruma-kun,23,Mairimashita! Iruma-kun,TV
N/A,1,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen,Movie
Little Witch Academia: The Enchanted Parade,1,Little Witch Academia: Mahoujikake no Parade,Movie
N/A,1,InuYasha: Kuroi Tessaiga,Special
Mobile Suit Gundam,43,Kidou Senshi Gundam,TV
Mobile Suit Gundam SEED,50,Kidou Senshi Gundam SEED,TV
JoJo's Bizarre Adventure: Phantom Blood,1,JoJo no Kimyou na Bouken: Phantom Blood,Movie
N/A,1,Kuroko no Basket: Last Game NG-shuu,Special
N/A,25,Gundam Build Fighters,TV
N/A,24,Golden Time,TV
N/A,25,Ghost Hunt,TV
N/A,1,Free! Take Your Marks,Movie
Free! the Final Stroke: The First Volume,1,Free! Movie 4: The Final Stroke - Zenpen,Movie
N/A,17,Fanren Xiu Xian Chuan,ONA
N/A,12,Genshiken 2,TV
Colorful: The Motion Picture,1,Colorful (Movie),Movie
Hi Score Girl,12,High Score Girl,TV
N/A,10,Devilman: Crybaby,ONA
The Demon Hunter 2nd Season,27,Cang Yuan Tu 2nd Season,ONA
Sailor Moon,46,Bishoujo Senshi Sailor Moon,TV
Ghost Stories,19,Gakkou no Kaidan,TV
School Babysitters Episode 13,1,Gakuen Babysitters Special,Special
N/A,26,BanG Dream! Garupa☆Pico,ONA
N/A,127,Inazuma Eleven,TV
Tonikawa: Over The Moon For You - Uniform,1,Tonikaku Kawaii: Seifuku,Special
N/A,26,Slayers,TV
N/A,22,Shiki,TV
N/A,12,Tomodachi Game,TV
N/A,52,Mujin Wakusei Survive,TV
N/A,13,Lazarus,TV
Beyond the Boundary: I'll Be Here - Past,1,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie
N/A,3,Memories,Movie
Beyond the Boundary,12,Kyoukai no Kanata,TV
Kageki Shojo!!,13,Kageki Shoujo!!,TV
N/A,6,Ranma ½ OVA,OVA
Tenchi Muyo! War on Geminar,13,Isekai no Seikishi Monogatari,OVA
N/A,39,Kyou kara Maou! 3rd Series,TV
Pokémon: Origins,4,Pokemon: The Origin,TV Special
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,1,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,Movie
Martial Universe 2nd Season,12,Wu Dong Qian Kun 2nd Season,ONA
N/A,13,Panty & Stocking with Garterbelt,TV
"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",12,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,TV
My Daddy Long Legs,40,Watashi no Ashinaga Ojisan,TV
Broken Blade 2,1,Break Blade Movie 2: Ketsubetsu no Michi,Movie
N/A,12,The iDOLM@STER Cinderella Girls: U149,TV
"Love, Chunibyo & Other Delusions!",12,Chuunibyou demo Koi ga Shitai!,TV
Birdy the Mighty: Decode 02,12,Tetsuwan Birdy Decode:02,TV
Who's Left Behind?,1,Ushiro no Shoumen Daare,Movie
N/A,195,Urusei Yatsura,TV
School Rumble: Extra Class,2,School Rumble: Ichi Gakki Hoshuu,OVA
The Law of Ueki,51,Ueki no Housoku,TV
Angel's Egg,1,Tenshi no Tamago,OVA
The Wallflower,25,Yamato Nadeshiko Shichihenge♥,TV
Tsukimichi -Moonlit Fantasy-,12,Tsuki ga Michibiku Isekai Douchuu,TV
Life Lessons with Uramichi-Oniisan,13,Uramichi Oniisan,TV
Tegami Bachi: Letter Bee Reverse,25,Tegamibachi Reverse,TV
Knights of Sidonia: Battle for Planet Nine,12,Sidonia no Kishi: Daikyuu Wakusei Seneki,TV
Hakuoki ~Demon of the Fleeting Blossom~ Warrior Spirit of the Blue Sky,1,Hakuouki Movie 2: Shikon Soukyuu,Movie
GATE,12,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV
N/A,2,Rozen Maiden: Ouvertüre,TV Special
God Troubles Me 3rd Season,12,Hanhua Riji 3rd Season,ONA
N/A,13,D.Gray-man Hallow,TV
N/A,13,Aria the Animation,TV
N/A,17,IDOLiSH7,TV
N/A,26,Fruits Basket,TV
N/A,12,Date A Live V,TV
N/A,12,Ani ni Tsukeru Kusuri wa Nai! 3,TV
Hanasakeru Seishonen,39,Hanasakeru Seishounen,TV
N/A,1,BanG Dream! Film Live,Movie
The Dangers in My Heart: Twi-Yaba,1,Boku no Kokoro no Yabai Yatsu: Twi-Yaba,ONA
Sailor Moon S Movie: Hearts in Ice,1,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Movie
N/A,2,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,ONA
Sing a Bit of Harmony,1,Ai no Utagoe wo Kikasete,Movie
N/A,1,Macross F: Close Encounter - Deculture Edition,Special
Kase-san and Morning Glories,1,Asagao to Kase-san.,OVA
Detective Conan Movie 17: Private Eye in the Distant Sea,1,Meitantei Conan Movie 17: Zekkai no Private Eye,Movie
N/A,1,"Yuru Yuri,",OVA
Paranoia Agent,13,Mousou Dairinin,TV
Love Live! Nijigasaki High School Idol Club Season 2,13,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,TV
Mobile Suit Gundam GQuuuuuuX -Beginning-,1,Kidou Senshi Gundam: GQuuuuuuX - Beginning,Movie
N/A,9,Kuroko no Basket 3rd Season NG-shuu,Special
N/A,1,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie
The World God Only Knows: Tenri Arc,2,Kami nomi zo Shiru Sekai: Tenri-hen,OVA
N/A,12,Princess Principal,TV
Rilakkuma and Kaoru,13,Rilakkuma to Kaoru-san,ONA
N/A,22,Kindaichi Shounen no Jikenbo Returns 2nd Season,TV
N/A,12,Kengan Ashura Part 2,ONA
Jujutsu Kaisen Season 2 Recaps,2,Jujutsu Kaisen 2nd Season Recaps,TV Special
Love Live! Superstar!! Season 2,12,Love Live! Superstar!! 2nd Season,TV
Junjo Romantica 2,12,Junjou Romantica 2,TV
The Irregular at Magic High School: Reminiscence Arc,1,Mahouka Koukou no Rettousei: Tsuioku-hen,TV Special
She and Her Cat: Everything Flows,4,Kanojo to Kanojo no Neko: Everything Flows,TV
InuYasha the Movie 2: The Castle Beyond the Looking Glass,1,InuYasha Movie 2: Kagami no Naka no Mugenjou,Movie
Strawberry Marshmallow Encore,2,Ichigo Mashimaro Encore,OVA
Kuroko's Basketball Specials,9,Kuroko no Basket NG-shuu,Special
The Legend of Luoxiaohei: The Gate of All Living Beings,12,Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,ONA
You and Me.,13,Kimi to Boku.,TV
Black Butler,24,Kuroshitsuji,TV
N/A,12,Kengan Ashura Season 2,ONA
Yuki Yuna is a Hero: The Hero Chapter,6,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,TV
Ne Zha,1,Nezha Zhi Mo Tong Jiang Shi,Movie
My Senior Brother Is Too Steady,13,Shixiong A Shixiong,ONA
Campfire Cooking in Another World with My Absurd Skill,12,Tondemo Skill de Isekai Hourou Meshi,TV
The Vision of Escaflowne,26,Tenkuu no Escaflowne,TV
Mazinger Edition Z: The Impact!,26,Shin Mazinger Shougeki! Z-hen,TV
Revue Starlight,12,Shoujo☆Kageki Revue Starlight,TV
N/A,12,Tsuritama,TV
N/A,1,Shirobako Movie,Movie
A Certain Scientific Railgun,24,Toaru Kagaku no Railgun,TV
My Bride is a Mermaid,26,Seto no Hanayome,TV
Banner of the Stars,13,Seikai no Senki,TV
Giovanni's Island,1,Giovanni no Shima,Movie
N/A,1,Given Movie 3: Umi e,Movie
Baki Hanma,12,Hanma Baki: Son of Ogre,ONA
Free! The Movie -Timeless Medley- the Promise,1,Free! Movie 2: Timeless Medley - Yakusoku,Movie
Cardcaptor Sakura The Movie,1,Cardcaptor Sakura Movie 1,Movie
N/A,1,Drifters: Special Edition,OVA
The Kawai Complex Guide to Manors and Hostel Behavior OVA: First Time,1,Bokura wa Minna Kawai-sou: Hajimete no,Special
N/A,78,Daa! Daa! Daa!,TV
Sailor Moon SuperS,39,Bishoujo Senshi Sailor Moon SuperS,TV
Blue Spring Ride,12,Ao Haru Ride,TV
N/A,3,Ranma ½ Super,OVA
Poyopoyo,52,Poyopoyo Kansatsu Nikki,TV
The Quintessential Quintuplets,12,5-toubun no Hanayome,TV
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,12,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,TV
Overlord: The Undead King,1,Overlord Movie 1: Fushisha no Ou,Movie
N/A,13,Orange,TV
Before Green Gables,39,Konnichiwa Anne: Before Green Gables,TV
Alderamin on the Sky,13,Nejimaki Seirei Senki: Tenkyou no Alderamin,TV
Gushing over Magical Girls,13,Mahou Shoujo ni Akogarete,TV
The Demon Girl Next Door,12,Machikado Mazoku,TV
Fabulous Beasts 3rd Season,12,You Shou Yan 3rd Season,ONA
Star Blazers: Space Battleship Yamato 2202,26,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,OVA
N/A,25,Yowamushi Pedal: New Generation,TV
N/A,24,Master Keaton,TV
Maria Watches Over Us: Printemps,13,Maria-sama ga Miteru: Haru,TV
Kino's Journey -the Beautiful World- the Animated Series,12,Kino no Tabi: The Beautiful World - The Animated Series,TV
Magical Girl Lyrical Nanoha StrikerS,26,Mahou Shoujo Lyrical Nanoha StrikerS,TV
N/A,78,Kyou kara Maou!,TV
Ride Your Wave,1,"Kimi to, Nami ni Noretara",Movie
Thus Spoke Kishibe Rohan,4,Kishibe Rohan wa Ugokanai,OVA
N/A,1,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Movie
Rurouni Kenshin,24,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),TV
Ninja Scroll,1,Juubee Ninpuuchou,Movie
"K: SEVEN STORIES ""Memory of RED - BURN -""",1,K: Seven Stories Movie 5 - Memory of Red - Burn,Movie
Mr. Osomatsu 2,25,Osomatsu-san 2nd Season,TV
Detective Conan: Conan vs. Kid - Shark & Jewel,1,Meitantei Conan: Conan vs. Kid - Shark & Jewel,Movie
"The Most Notorious ""Talker"" Runs the World's Greatest Clan",12,"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",TV
The Seven Deadly Sins,24,Nanatsu no Taizai,TV
Hell Girl,26,Jigoku Shoujo,TV
Hell Girl: Three Vessels,26,Jigoku Shoujo Mitsuganae,TV
His and Her Circumstances,26,Kareshi Kanojo no Jijou,TV
Ron Kamonohashi's Forbidden Deductions Season 2,13,Kamonohashi Ron no Kindan Suiri 2nd Season,TV
Zenshu,12,Zenshuu.,TV
N/A,13,Uma Musume: Pretty Derby Season 3,TV
N/A,25,The iDOLM@STER,TV
Tales of Demons and Gods Season 8,52,Yao Shen Ji 8th Season,ONA
N/A,7,Jungle wa Itsumo Hare nochi Guu Final,OVA
Tenchi Muyo! Ryo-Ohki,6,Tenchi Muyou! Ryououki,OVA
Tegami Bachi: Letter Bee,25,Tegamibachi,TV
My Happy Marriage Season 2,13,Watashi no Shiawase na Kekkon 2nd Season,TV
Love Magic Grocery,16,Wanneng Lian Ai Zahuo Dian,ONA
Encouragement of Climb Season 3,13,Yama no Susume Third Season,TV
N/A,26,Utawarerumono,TV
Persona 3 the Movie: #3 Falling Down,1,Persona 3 the Movie 3: Falling Down,Movie
Learning with Manga! Fate/Grand Order,1,Manga de Wakaru! Fate/Grand Order,TV Special
THE IDOLM@STER MOVIE: BEYOND THE BRILLIANT FUTURE!,1,The iDOLM@STER Movie: Kagayaki no Mukougawa e!,Movie
Kuroko’s Basketball: Would You Mind Doing That Once More,1,Kuroko no Basket: Mou Ikkai Yarimasen ka,Special
Magical Circle Guru Guru,45,Mahoujin Guruguru,TV
Junjo Romantica 3,12,Junjou Romantica 3,TV
Shrouding the Heavens,156,Zhe Tian,ONA
N/A,52,Kekkaishi,TV
Mobile Suit Gundam SEED Freedom,1,Kidou Senshi Gundam SEED Freedom,Movie
Blood Blockade Battlefront,12,Kekkai Sensen,TV
Immortality 2nd Season,12,Yong Sheng: Shi Nian Zhi Yue,ONA
N/A,13,White Album 2,TV
Gunbuster 2,6,Top wo Nerae 2! Diebuster,OVA
Legend of Exorcism,13,Tianbao Fuyao Lu,ONA
My Teen Romantic Comedy SNAFU OVA,1,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA
The Princess and the Pilot,1,Toaru Hikuushi e no Tsuioku,Movie
Alya Sometimes Hides Her Feelings in Russian,12,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,TV
Space Brothers #0,1,Uchuu Kyoudai: Number Zero,Movie
Shoshimin: How to Become Ordinary Season 2,47,Shoushimin Series 2nd Season,TV
The Slime Diaries,12,Tensura Nikki: Tensei shitara Slime Datta Ken,TV
Looking for Magical Doremi,1,Majo Minarai wo Sagashite,Movie
N/A,1,Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,Movie
The Duke of Death and His Maid,12,Shinigami Bocchan to Kuro Maid,TV
The Land of Miracles 2nd Season,15,Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,ONA
Kabaneri of the Iron Fortress: Light That Gathers,1,Koutetsujou no Kabaneri Movie 1: Tsudou Hikari,Movie
Neuro: Supernatural Detective,25,Majin Tantei Nougami Neuro,TV
The Magical Girl and the Evil Lieutenant Used to Be Archenemies,12,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,TV
A Letter to Momo,1,Momo e no Tegami,Movie
Macross Delta: Zettai Live!!!!!!,1,Macross Δ Movie 2: Zettai Live!!!,Movie
N/A,1,Kairyuu to Yuubinyasan,ONA
Laid-Back Camp Specials,3,Yuru Camp△ Specials,Special
Kabaneri of the Iron Fortress: Life The Burns,1,Koutetsujou no Kabaneri Movie 2: Moeru Inochi,Movie
N/A,1,Uma Musume: Pretty Derby - Road to the Top (Movie),Movie
Tsubasa RESERVoir CHRoNiCLE Season Two,26,Tsubasa Chronicle 2nd Season,TV
N/A,13,Yume-iro Pâtissière SP Professional,TV
Jade Dynasty,26,Zhu Xian,ONA
N/A,12,Shounan Bakusouzoku,OVA
Strike Witches: The Movie,1,Strike Witches Movie,Movie
N/A,24,Sword Art Online: Alicization,TV
Dragon Prince Yuan,26,Yuan Zun,ONA
Tada Never Falls in Love,13,Tada-kun wa Koi wo Shinai,TV
Brave Bang Bravern!,12,Yuuki Bakuhatsu Bang Bravern,TV
Encouragement of Climb Season 2,24,Yama no Susume Second Season,TV
YuruYuri: Happy Go Lily,12,Yuru Yuri,TV
N/A,4,"Yondemasu yo, Azazel-san.",OVA
Towanoquon: Eternal Quon,1,Towa no Quon 6: Towa no Quon,Movie
N/A,12,Wonder Egg Priority,TV
N/A,74,UFO Robo Grendizer,TV
Ushio & Tora (2015),26,Ushio to Tora (TV),TV
N/A,12,Tamayura: More Aggressive,TV
Sword Art Online the Movie: Ordinal Scale,1,Sword Art Online Movie: Ordinal Scale,Movie
Tower of God,13,Kami no Tou,TV
N/A,50,Wonderful Precure!,TV
"The Girl From the Other Side: Siúil, a Rún",1,Totsukuni no Shoujo,OVA
The Girl From the Other Side,1,Totsukuni no Shoujo (2022),OVA
Zatch Bell!,150,Konjiki no Gash Bell!!,TV
N/A,2,Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,OVA
InuYasha the Movie 4: Fire on the Mystic Island,1,InuYasha Movie 4: Guren no Houraijima,Movie
N/A,1,Durarara!!x2 Ketsu: Dufufufu!!,Special
Cells at Work!,13,Hataraku Saibou,TV
N/A,12,Gugure! Kokkuri-san,TV
Eden of The East the Movie II: Paradise Lost,1,Higashi no Eden Movie II: Paradise Lost,Movie
Hakuoki: Demon of the Fleeting Blossom - Record of the Jade Blood,10,Hakuouki: Hekketsuroku,TV
N/A,12,Birdie Wing: Golf Girls' Story Season 2,TV
Deaimon: Recipe for Happiness,12,Deaimon,TV
Baka & Test - Summon the Beasts OVA,2,Baka to Test to Shoukanjuu: Matsuri,OVA
Fairies Albums 4,12,Bai Yao Pu 4th Season,ONA
"Love, Chunibyo & Other Delusions!: Heart Throb",12,Chuunibyou demo Koi ga Shitai! Ren,TV
Sengoku Basara - Samurai Kings: The Movie,1,Sengoku Basara Movie: The Last Party,Movie
N/A,1,Aikatsu! Movie,Movie
N/A,2,Angel Beats! Specials,Special
Samurai X: The Motion Picture,1,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie
Smile Down the Runway,12,Runway de Waratte,TV
Ah! My Goddess: Flights of Fancy,22,Aa! Megami-sama! Sorezore no Tsubasa,TV
Sweetness & Lightning,12,Amaama to Inazuma,TV
N/A,3,Hoozuki no Reitetsu 2nd Season OVA,OVA
N/A,52,Hungry Heart: Wild Striker,TV
Saiyuki,50,Gensoumaden Saiyuuki,TV
Galaxy Express 999,1,Ginga Tetsudou 999 (Movie),Movie
The Way of the Househusband Part 2,5,Gokushufudou Part 2,ONA
Dragon Ball Z Kai: Bring Peace to the Future! Goku's Spirit is Eternal,1,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,TV Special
N/A,1,Garo Movie: Divine Flame,Movie
Sailor Moon SuperS the Movie: Black Dream Hole,1,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Movie
Baki: The Great Raitai Tournament Saga,13,Baki: Dai Raitaisai-hen,ONA
The Daughter of 20 Faces,22,Nijuu Mensou no Musume,TV
Colorful Stage! The Movie: A Miku Who Can't Sing,1,Project Sekai Movie: Kowareta Sekai to Utaenai Miku,Movie
N/A,1,Nodame Cantabile Finale OVA,OVA
Ah! My Goddess: The Movie,1,Aa! Megami-sama! Movie,Movie
"Spare Me, Great Lord!",12,Da Wang Rao Ming,ONA
N/A,10,Nobunaga Concerto,TV
Persona 3 the Movie: #1 Spring of Birth,1,Persona 3 the Movie 1: Spring of Birth,Movie
One Week Friends,12,Isshuukan Friends.,TV
N/A,12,NieR:Automata Ver1.1a,TV
Time of Shura,26,Mutsu Enmei Ryuu Gaiden: Shura no Toki,TV
Afro Samurai the Movie,1,Afro Samurai Movie,Movie
N/A,1,Mitsudomoe: Oppai Ippai Mama Genki,Special
Recovery of an MMO Junkie,10,Net-juu no Susume,TV
Kuroko's Basketball OVA,1,Kuroko no Basket: Baka ja Katenai no yo!,OVA
Mobile Suit Gundam 00 Special Edition,3,Kidou Senshi Gundam 00 Special Edition,OVA
Reborn! Here Comes a Vongola Family-Style School Trip!,1,"Katekyou Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",ONA
Teasing Master Takagi-san: Water Slide,1,Karakai Jouzu no Takagi-san: Water Slide,OVA
Secret of Cerulean Sand,26,Patapata Hikousen no Bouken,TV
N/A,1,Penguin Highway,Movie
One Punch Man Season 2,12,One Punch Man 2nd Season,TV
The Garden of Sinners Remix: Gate of Seventh Heaven,1,Kara no Kyoukai Remix: Gate of Seventh Heaven,Movie
N/A,1,Metropolis,Movie
"Mushoku Tensei: Jobless Reincarnation Season 2 - Episode 0 ""Guardian Fitz""",1,Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,TV Special
Those Snow White Notes,12,Mashiro no Oto,TV
Tales of Demons and Gods Season 5,52,Yao Shen Ji 5th Season,ONA
N/A,1,Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,Movie
N/A,26,Over Drive,TV
One Piece: Dead End Adventure,1,One Piece Movie 04: Dead End no Bouken,Movie
N/A,25,Persona 4 the Animation,TV
N/A,1,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,Movie
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,1,Meitantei Conan Magic File 2: Kudou Shinichi Nazo no Kabe to Kuro Lab Jiken,OVA
N/A,13,Mitsudomoe,TV
Why Raeliana Ended up at the Duke's Mansion,12,Kanojo ga Koushaku-tei ni Itta Riyuu,TV
N/A,12,Kemono Friends,TV
Black Butler Special,1,"Kuroshitsuji: Sono Shitsuji, Kougyou",Special
Kimagure Orange Road,48,Kimagure Orange☆Road,TV
My Clueless First Friend,13,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,TV
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",12,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV
Fabulous Beasts,12,You Shou Yan,ONA
Immortality,12,Yong Sheng,ONA
N/A,1,Yu☆Gi☆Oh! The Dark Side of Dimensions,Movie
N/A,3,To LOVE-Ru Darkness 2nd OVA,OVA
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,12,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",TV
My Sister Momoko,1,"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie
N/A,1,Kiniro Mosaic: Pretty Days,Movie
N/A,12,Tiger & Bunny 2 Part 2,ONA
Detective Conan OVA 04: Conan and Kid and Crystal Mother,1,Meitantei Conan OVA 04: Conan to Kid to Crystal Mother,OVA
Ron Kamonohashi's Forbidden Deductions,13,Kamonohashi Ron no Kindan Suiri,TV
KonoSuba: An Explosion on This Wonderful World!,12,Kono Subarashii Sekai ni Bakuen wo!,TV
N/A,12,Zombieland Saga,TV
"You're Being Summoned, Azazel",13,"Yondemasu yo, Azazel-san. (TV)",TV
"Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note - Waver, Reunion, and the Magic Lantern",1,Lord El-Melloi II-sei no Jikenbo: Rail Zeppelin Grace Note Special,TV Special
Tsurune the Movie: The First Shot,1,Tsurune Movie: Hajimari no Issha,Movie
JoJo's Bizarre Adventure,6,JoJo no Kimyou na Bouken,OVA
N/A,12,Xingchen Bian: Xingchen Yao Hai,ONA
Yu-Gi-Oh!,224,Yu☆Gi☆Oh! Duel Monsters,TV
N/A,26,Tanoshii Muumin Ikka Bouken Nikki,TV
Towanoquon: The Roaring Anxiety,1,Towa no Quon 4: Guren no Shoushin,Movie
N/A,26,Little Busters!,TV
N/A,12,Konohana Kitan,TV
Special A (S.A),24,Special A,TV
N/A,51,Sugar Sugar Rune,TV
Sword Art Online: Alicization - War of Underworld Part 2,11,Sword Art Online: Alicization - War of Underworld 2nd Season,TV
N/A,26,Oban Star-Racers,TV
Love Live! Nijigasaki High School Idol Club,13,Love Live! Nijigasaki Gakuen School Idol Doukoukai,TV
That Time I Got Reincarnated as a Slime OAD,5,Tensei shitara Slime Datta Ken OVA,OVA
Neon Genesis Evangelion: Death & Rebirth,1,Shinseiki Evangelion Movie: Shi to Shinsei,Movie
Laid-Back Camp Season 2 Specials,2,Yuru Camp△ Season 2 Specials,Special
N/A,12,Shine Post,TV
N/A,124,Yawara!,TV
The Prince of Tennis II Specials,7,Shin Tennis no Oujisama Specials,Special
N/A,22,Xue Ying Ling Zhu 2nd Season,ONA
N/A,26,Zipang,TV
The Daily Life of the Immortal King 4,12,Xian Wang de Richang Shenghuo 4,ONA
Dusk Maiden of Amnesia: Ghost Girl,1,Tasogare Otome x Amnesia: Taima Otome,Special
N/A,1,Voy@ger,ONA
The Flowers of Hard Blood,22,Shion no Ou,TV
The Land of Miracles 3rd Season,15,Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,ONA
Okko's Inn,1,Wakaokami wa Shougakusei! Movie,Movie
N/A,26,Wangan Midnight,TV
Record of Ragnarok II,10,Shuumatsu no Walküre II,ONA
"As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World Season 2",12,"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season",TV
Sengoku Basara: Samurai Kings 2,12,Sengoku Basara Ni,TV
Cardcaptor Sakura Specials,3,"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",Special
N/A,12,Sugar Apple Fairy Tale,TV
Twilight Out of Focus,12,Tasogare Out Focus,TV
Her Blue Sky,1,Sora no Aosa wo Shiru Hito yo,Movie
N/A,1,Sayonara Zetsubou Sensei Special,Special
N/A,1,Sekaiichi Hatsukoi: Propose-hen,Movie
Cautious Hero: The Hero Is Overpowered but Overly Cautious,12,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,TV
The Squid Girl 2,12,Shinryaku!? Ika Musume,TV
The Squid Girl OVA,3,Shinryaku!! Ika Musume,OVA
Saint☆Young Men,2,Saint☆Oniisan,OVA
Fist of the North Star: Legend of Kenshiro,1,Hokuto no Ken Zero: Kenshirou Den,Movie
N/A,12,Hitoribocchi no Marumaru Seikatsu,TV
N/A,1,"Goodbye, Don Glees!",Movie
N/A,5,Future GPX Cyber Formula Sin,OVA
N/A,11,Sarazanmai,TV
