eng_title,episode_num,jp_title,show_type
Mushi-shi Path of Thorns,1,Mushishi Zoku Shou: Odoro no Michi,TV Special
The Rose of Versailles,40,Versailles no Bara,TV
N/A,237,Douluo Dalu 2nd Season,ONA
N/A,26,Initial D First Stage,TV
Detective Conan Movie 26: Black Iron Submarine,1,Meitantei Conan Movie 26: Kurogane no Submarine,Movie
N/A,10,Hellsing Ultimate,OVA
Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,7,Kimetsu no Yaiba: Mugen Ressha-hen,TV
N/A,13,Baccano!,TV
KonoSuba: God's Blessing on This Wonderful World! 3,11,Kono Subarashii Sekai ni Shukufuku wo! 3,TV
Nausicaä of the Valley of the Wind,1,Kaze no Tani no Nausicaä,Movie
K-ON! The Movie,1,K-On! Movie,Movie
N/A,1,Violet Evergarden: Recollections,Special
That Time I Got Reincarnated as a Slime Season 2,12,Tensei shitara Slime Datta Ken 2nd Season,TV
"Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come",1,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special
Gintama: Jump Festa 2008 Special,1,Gintama: Shiroyasha Koutan,Special
My Teen Romantic Comedy SNAFU Climax!,12,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV
Girls und Panzer das Finale – Part 4,1,Girls & Panzer: Saishuushou Part 4,Movie
Beck: Mongolian Chop Squad,26,Beck,TV
Steins;Gate: Egoistic Poriomania,1,Steins;Gate: Oukoubakko no Poriomania,Special
Neon Genesis Evangelion,26,Shinseiki Evangelion,TV
N/A,1,Redline,Movie
Spice and Wolf II,12,Ookami to Koushinryou II,TV
Anohana: The Flower We Saw That Day,11,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV
Case Closed Movie 06: The Phantom of Baker Street,1,Meitantei Conan Movie 06: Baker Street no Bourei,Movie
Kids on the Slope,12,Sakamichi no Apollon,TV
Kaiju No. 8,12,Kaijuu 8-gou,TV
The Legend of Hei,1,Luo Xiao Hei Zhan Ji (Movie),Movie
The Beast Player Erin,50,Kemono no Souja Erin,TV
Kuroko's Basketball 3,25,Kuroko no Basket 3rd Season,TV
Natsume's Book of Friends,13,Natsume Yuujinchou,TV
N/A,12,Katanagatari,TV
Kingdom: Season 2,39,Kingdom 2nd Season,TV
The Eminence in Shadow Season 2,12,Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV
Ace of Diamond: Second Season,51,Diamond no Ace: Second Season,TV
Swallowed Star 2nd Season,26,Tunshi Xingkong 2nd Season,ONA
Evangelion: 2.0 You Can (Not) Advance,1,Evangelion Movie 2: Ha,Movie
Shangri-La Frontier Season 2,25,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",TV
N/A,11,Given,TV
Erased,12,Boku dake ga Inai Machi,TV
Suzume,1,Suzume no Tojimari,Movie
N/A,14,World Trigger 3rd Season,TV
Fighting Spirit: Mashiba vs. Kimura,1,Hajime no Ippo: Mashiba vs. Kimura,OVA
N/A,24,Dororo,TV
Haikyu!! The Movie: Battle of Concepts,1,Haikyuu!! Movie 4: Concept no Tatakai,Movie
Kaiji: Against All Rules,26,Gyakkyou Burai Kaiji: Hakairoku-hen,TV
Blue Box,25,Ao no Hako,TV
Millennium Actress,1,Sennen Joyuu,Movie
Golden Kamuy Season 2,12,Golden Kamuy 2nd Season,TV
N/A,13,BanG Dream! It's MyGO!!!!!,TV
N/A,26,Planetes,TV
Sword of the Stranger,1,Stranger: Mukou Hadan,Movie
My Hero Academia Season 6,25,Boku no Hero Academia 6th Season,TV
My Neighbor Totoro,1,Tonari no Totoro,Movie
From the New World,25,Shinsekai yori,TV
KonoSuba: God's Blessing on This Wonderful World! 2,10,Kono Subarashii Sekai ni Shukufuku wo! 2,TV
N/A,23,Nodame Cantabile,TV
Fighting Spirit: Champion Road,1,Hajime no Ippo: Champion Road,TV Special
N/A,14,Hunter x Hunter: Greed Island Final,OVA
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,11,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV
Fights Break Sphere 4th Season,24,Doupo Cangqiong 4th Season,ONA
N/A,12,Dr. Stone: Science Future,TV
N/A,23,Great Pretender,TV
InuYasha: The Final Act,26,InuYasha: Kanketsu-hen,TV
My Teen Romantic Comedy SNAFU TOO!,13,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV
N/A,13,xxxHOLiC◆Kei,TV
Bungo Stray Dogs 3,12,Bungou Stray Dogs 3rd Season,TV
ReLIFE: Final Arc,4,ReLIFE: Kanketsu-hen,Special
